COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Greece	Guernsey	Hungary	Iceland	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Vanuatu	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Dominican Republic	0 	0 		5 	14 	0 	0 	1 		28 	133 	0 			0 	2 	0 		5 		0 		10 	27 			0 			15 		5 	14 	1 					43 				15 	3 				117 					0 			0 	1 		0 	0 			84 	310 	0 		0 		832 
Ecuador	0 	0 	C 	6 	65 	0 	12 	0 		2 	28 	0 	0 		0 	5 	0 		20 		0 		10 	34 	5 	83 	0 						57 	3 					220 	1 			12 	4 				9 			0 		1 			0 	1 	0 	20 	0 			45 	770 	1 				1415 
Egypt	0 	0 	2 	4 		0 	0 	0 		1 		0 			0 		3 		14 		0 		20 	10 	5 	75 	0 			11 	15 		20 	1 			2 	1 	110 	1 	2 	9 	1 								0 		0 			0 	0 	1 	10 	0 			C 	485 	0 				802 
El Salvador	0 	0 		2 	34 	0 	0 			2 	33 	0 			0 	21 	0 		33 		0 		8 	10 		0 	0 			15 			10 	4 					8 				7 					21 					0 			0 	0 		1 	0 			C 	291 	0 				502 
Equatorial Guinea	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Eritrea	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 	0 	0 	0 			0 	0 	0 				0 
Estonia	0 	0 		83 		6 	0 			1 	2 	0 			0 		9 		22 			158 	6 	157 		15 	6 			29 	0 		53 	10 					191 	1 			23 			6 							0 			0 	2 	144 	3 	0 			C 	89 	0 				1017 
Ethiopia	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Falkland Islands	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Faroe Islands	0 	0 		0 		0 	0 			0 		0 			0 		0 		7 		0 		0 	0 			0 						0 						0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				7 
Fiji	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Finland	31 	0 	300 	1632 		2665 	281 	1 	2 	1535 	11 	34 	596 	9 	0 	0 	1 	6 	1219 		82 		14895 	16417 	56 	523 	3 	44 	2 	4179 	286 		3476 	5800 	277 	7 	3 	5 	8282 	1 	2 	0 	6476 	21 	0 	1875 				7 	419 		0 	427 	1 	27 	2032 	5913 	4282 	0 			12416 	37570 	0 			3844 	137976 
France	19 	0 	3173 	9325 	105 	36281 	2637 	39 	35 	8720 	700 	49 	5158 	161 	17 	1 	196 	201 	5385 	63 	31 	11578 		80253 	1271 	3346 	108 	39 		20996 	199 	74 	53984 	66552 	7937 	184 	411 	136 	69241 	8 	181 	159 	53536 	113 	39 	7321 		3 	33 	93 	6347 	0 	25 	5032 	6 	268 	27016 	8877 	33832 	0 	13 		93931 	134989 	15 	1 	4 	87524 	847968 
French Southern Territories	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 			0 			0 	0 	0 				0 
French Territories: French Polynesia	0 	0 		2 		0 	0 			0 		0 			0 		0 		0 		0 		19 	0 			0 						0 	0 	3 				0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				24 
French Territories: New Caledonia	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 	2 									0 			0 	0 	0 	0 	0 			0 	0 	0 				2 
Gabon	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		64 	0 			0 			1 			0 	0 					1 				0 								0 		0 			0 	0 		4 	0 			C 		0 				69 
Gambia, The	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					3 				0 										0 			0 	0 		0 	0 			C 	24 	0 				27 
Georgia	0 	0 		0 		2 	0 			0 		0 			0 		0 		1 		0 		0 	0 			0 				0 		0 	0 	31 				44 				12 			215 							3 			0 	0 		0 	0 			C 	2 	0 				309 
Germany	100 	0 	2922 	43128 	38 	35685 	4383 	65 	51 	5302 	2701 	214 	9435 	257 	84 		240 	936 	16270 	82 	316 	10807 	123368 		680 	7637 	74 	29 	8 	39138 	406 	337 	56461 	121007 	13615 	172 	123 	12 	171262 	13 	423 	119 	106095 	257 	61 	20420 		263 	31 	187 	8695 		495 	9807 	135 	64 	41656 	11309 	63305 	15 	52 		127297 	130954 	7 	2 	10 	171713 	1360732 
Ghana	0 	0 		1 		0 	0 			8 		0 			0 		0 		0 		0 		5 	3 		5 	0 				0 		1 	3 					21 			3 	0 										0 			0 	0 		2 	0 			C 	565 	0 				616 
Gibraltar	0 	0 	C 	52 		110 	0 	0 		0 		0 			0 		0 		0 		0 		6 	524 		4 	0 			33 	7 		102 	0 					1248 				89 							14 	779 		0 			0 	225 		31 	0 			C 	14 	0 				3239 
Greece	0 	0 	100 	3734 		6505 	283 		12 	140 	0 	7 	173 	3 	0 		149 	0 	195 		0 	522 	16039 	17540 		605 	0 	0 		3500 	0 		5004 	2935 	66 	11 	6 		6100 	0 	77 		7787 	2 	0 	907 			1 		0 		0 	29 	4 	42 	1210 	457 	482 	0 			C 	4111 	0 			1261 	80001 
Greenland	0 	0 		0 		0 	0 			0 		0 			0 		0 		5 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				5 
Grenada	0 	0 		0 	4 	0 	0 	0 		0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 	1 									0 			0 	0 		0 	0 			0 	7 	0 				12 
Guadeloupe	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 						0 				0 										0 			0 	0 			0 			0 	0 	0 				0 
Guam	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				2 										0 			0 	0 			0 			0 		0 				2 
Guatemala	0 	0 		0 	130 	0 	0 	0 		0 	4 	0 			0 	0 	0 		0 		0 		0 	2 			0 						5 	1 					9 				0 					77 					0 			0 	0 		0 	0 			C 	77 	0 				306 
Guernsey	0 	0 		319 		119 	26 	4 		0 	2 	23 	0 	23 	0 		10 		20 		0 		820 	0 	33 		0 			194 	102 		901 		39 				1228 			1 	3244 	1 							121 		0 			192 	5 	0 	4963 	0 			C 	4012 	0 				16401 
Guiana, French	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 	0 	0 	0 			0 						0 	0 	2 				2 				0 	1 									0 			0 	0 			0 			0 	0 	0 				4 
Guinea	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 								0 		0 			0 	0 		14 	0 			0 	0 	0 				14 
Guinea-Bissau	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 								0 		0 			0 	0 		0 	0 			0 	0 	0 				0 
Guyana	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	17 					25 				0 										0 			0 	0 		0 	0 			0 	2 	0 				44 
Haiti	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			C 	0 	0 				0 
Honduras	0 	0 		0 		0 	0 			0 	5 	0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 					0 					0 			0 	0 		0 	0 			0 	18 	0 			C 	23 
Hungary	0 	0 	11 	1867 		186 	80 	0 	24 	104 		3 	0 		0 		15 	185 	322 		4 		504 	6116 	36 	118 				579 			131 	768 	74 		4 		3330 		19 		249 			42 				120 	0 		0 		4 	0 	129 	79 	144 	0 			3053 	2430 	0 			C 	20728 
Iceland	0 	0 		294 		112 	84 			0 	2 	0 	94 		0 	0 	0 	34 	19 		1 	182 	205 	1492 		19 	0 			196 			40 	200 					677 				5 	6 		230 					88 		0 			0 	31 	160 	68 	1 			C 	162 	0 			C 	4404 
India	0 	0 	73 	33 	67 	65 	1 			176 	24 	0 	50 	8 	0 		0 		72 	0 	0 		78 	165 	1 	141 	0 			231 	1 		158 	208 	48 		47 	0 	1364 	16 		7309 	268 			31 					0 		15 	709 		0 	431 	47 	90 	0 			C 	8975 	0 			C 	20900 
Indonesia	0 	0 	23 	17 	2 	15 	2 			87 	24 	0 	200 	0 	0 		0 		28 	0 	0 		80 	31 		88 	0 			86 	1 		45 	171 	24 		82 	0 	457 	35 		2859 	110 	5 		1 			4 		0 		0 	2261 		0 	20 	10 	44 	15 			C 	3122 	0 			C 	9951 
Iran, Islamic Republic of	0 	0 		7 		34 	0 			0 		3 	1 		0 		5 	0 	0 		0 		17 	49 			0 			7 			8 	0 			2 	0 	8 				6 										0 			0 	0 	155 	11 	0 			C 		0 				316 
Iraq	0 	0 	C 	0 		0 	0 			0 		0 			0 		0 		0 	2 	0 		0 	0 			0 						0 	0 					0 				0 	1 									0 			0 	0 		0 	0 			C 		0 				3 
Ireland	0 	0 	254 	2929 	15 	6299 	5625 	8 	0 	1089 	122 	997 	1391 	13 	115 	3 	63 	110 	668 		24 	1752 	21631 	24419 	225 	2942 	33 	103 			1558 	17 	21579 	33261 	2008 	55 	265 	2 	14565 	1 	16 	3 	5991 	43 		1279 			0 	53 	2537 		0 	2047 	1 	4447 	3797 	906 	5397 	0 			40256 	25815 	0 			3861 	240590 
Isle of Man	0 	0 		0 		0 	15 	0 		0 		0 			0 		0 	1 	30 		0 		0 	0 		35 	0 			10 			17 						4 	0 		1 	0 	1 							0 		0 			56 	0 		58 	0 			C 	0 	0 				230 
Israel	0 	0 	C 	173 		20 	20 	10 		506 	58 	0 	1 		0 	0 	0 	0 	195 		0 		212 	198 	24 	58 	0 	0 		63 	0 		130 	952 	8 				556 		7 		132 	1 		9 		1 			0 		0 	7 		0 	17 	15 	282 	0 			2076 	20109 	3 				25845 
Italy	67 	0 	1427 	8727 	11 	41760 	1178 	12 	6 	3234 	347 	39 	1165 	18 	1 		56 	178 	3482 		28 	5556 	119196 	98232 	1362 	2301 	8 	12 	6 	36931 	88 	20 		45214 	1288 	67 	17 	25 	67165 	8 	383 	0 	52751 	329 	0 	7558 				30 	2580 	2 	12 	1830 	28 	54 	36574 	3691 	8473 	9 	0 		106134 	47600 	4 		5 	30929 	738210 
Jamaica	0 	0 		5 		0 	0 			0 	16 	0 			0 		0 		4 		0 		1 	104 		0 	0 			15 			123 	0 					18 				25 	9 									0 			0 	0 		11 	0 			C 	142 	0 				474 
Japan	2 	1 	5915 	1523 	2 	2419 	1927 	1 		13045 	221 	5 	8754 	48 	2 		24 	0 	2152 	123 	2 	604 	16972 	17459 	20 	1375 	9 	58 	0 	11228 	181 	7 	8637 		2543 	231 	256 	3 	22832 	21 	55 	46 	12054 	80 	891 	9050 			8 	0 	70 		6 	6202 	1 	282 	1275 	6355 	10453 	0 			80135 	195439 	0 	0 		71494 	512499 
Jersey	0 	0 		1984 		2686 	773 			0 	308 	0 	0 	5 	0 		0 		30 		0 		809 	0 	51 	369 	0 	9 		681 	105 		4563 				39 		1915 	26 		51 	959 	7 						266 	2939 		0 			1623 	133 	15 	24115 	0 			C 	3080 	0 				47543 
Jordan	0 	0 		0 	6 	0 	0 			0 		0 			0 		28 		1 	3 	0 		50 	1 		1 	0 						0 	0 			8 	2 	3 				0 										0 			0 	0 		3 	0 			66 	65 	0 				236 
Kazakhstan	0 	0 		2 		2 	0 			0 	1 	0 			0 		0 	56 	0 		0 		9 	15 		0 	0 			2 			0 	0 					28 	3 			4 						1 		0 		0 			0 	0 		1 	0 	0 		C 	111 	0 				236 
Kenya	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 		19 	0 				0 		4 	0 					5 			5 	0 						0 				0 			0 	0 		0 	0 			C 	16 	0 				50 
Kiribati	0 	0 		0 		3 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					2 				0 										0 			0 	0 		0 	0 			0 	0 	0 				5 
Korea, Democratic People's Rep. of	0 	0 													0 		0 		0 		0 			0 			0 							0 	6 				0 				0 										0 			0 	0 			0 				0 	0 				6 
Korea, Republic of	0 	0 	510 	163 	3 	329 	282 	0 		1983 	54 	1 	7513 	28 	0 		0 	0 	644 	2 	0 	41 	1283 	1915 	4 	452 	4 	2 		1627 	6 		954 	6010 	530 			0 	5719 	70 	4 	60 	1284 	3 	69 	404 			15 		0 		0 	5124 	0 	2 	18 	412 	827 	10 			13834 	39573 	0 			C 	91769 
Kosovo, Republic of															0 																																																						0 
Kuwait	0 	0 		0 		0 	0 			0 		0 			0 		8 		0 		0 		0 	0 			0 						0 	0 				2 	5 			0 	0 			0 							0 			0 	0 		0 	0 			C 		0 				15 
Kyrgyz Republic	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 		4 	0 						0 	0 					0 				0 										0 			0 	0 		0 	0 	0 		C 	0 	0 				4 
Lao People's Democratic Republic	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Latvia	0 	0 		38 		0 	0 		4 	0 		0 	1 		0 		10 		9 		35 		4 	229 		2 	0 				0 		6 	2 					28 				10 										0 			0 	1 	1 	19 	0 			C 	5 	0 				403 
Lebanon	0 	0 		2 	6 	3 	0 	4 		0 		0 	0 		0 		8 		0 	4 	0 		34 	1 			0 						9 	0 					25 				0 										0 			0 	0 		14 	0 			C 	105 	0 				215 
Lesotho	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	2 	0 				2 
Liberia	0 	0 		3 		1 	9 	0 		12 		0 	0 		0 		0 		3 		0 		11 	13 	4 	1 	0 			6 			35 	15 			69 		52 				1 			159 							0 			0 	0 	0 	5 	0 			C 	2409 	0 			C 	2805 
Libya	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			C 		0 				0 
Liechtenstein	0 	0 		30 		0 	0 	0 		0 		0 			0 		0 	0 	0 		0 		33 	151 			0 						310 	0 					10 				1 								0 		0 			2 	0 	0 		0 			C 	31 	0 				569 
Lithuania	0 	0 		113 		2 	0 			0 		0 			0 		7 		1 		30 		48 	599 		7 	9 			4 			13 	1 	2 				104 				76 	2 		0 					0 		0 			0 	3 	4 	10 	0 			C 	36 	0 				1070 
Luxembourg	500 	0 	55 	6862 	81 	61403 	1444 	54 	0 	590 	192 	2330 	8956 	98 	112 		60 	662 	941 		13 	2505 	38865 	124146 	1952 	1326 	16 	509 	5 	11435 	2333 	601 	146750 	55799 	1597 	8 	162 	33 		66 	36 	45 	8263 	17 		1785 		8 		110 	4699 	4 	482 	3255 	148 	1015 	12358 	19458 	83427 	20 	217 		25700 	14207 	19 			C 	647736 
Macedonia, FYR	0 	0 		0 		0 	0 			0 		0 			0 		9 		0 		0 		0 	3 		1 	0 						3 	1 					5 				0 										0 			0 	0 		0 	0 			0 	35 	0 				57 
Madagascar	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 			7 	0 										0 			0 	0 		0 	0 			0 	1 	0 				8 
Malawi	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 		0 	0 						0 	0 					0 			2 	0 										0 			0 	0 		0 	0 			0 	8 	0 				10 
Malaysia	2 	0 	37 	59 	3 	30 	13 			147 	53 	1 	2846 	3 	0 		0 		111 		0 		357 	438 		133 	0 		3 	205 	1 		337 	2118 	169 		383 		1366 		0 	114 	326 	1 		16 			10 		17 		1 	7375 		0 	0 	112 	132 	0 			C 	6370 	0 			C 	23290 
Maldives	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						15 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				15 
Mali	0 	0 		0 		0 	0 			0 		0 	8 		0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	2 	0 				10 
Malta	0 	0 		39 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						113 	0 	52 				8 				0 										0 			3 	2 		16 	0 			C 	52 	0 				283 
Marshall Islands, Republic of	0 	0 		1 		0 	0 			0 		0 	0 		0 		0 		0 		0 		0 	3 			0 					21 	41 	0 					1 				0 	1 									0 			0 	0 	1 	1 	0 			C 	415 	0 				484 
Martinique	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 						0 				0 										0 			0 	0 			0 			0 	0 	0 				0 
Mauritania	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					1 				0 										0 			0 	0 		0 	0 			0 	0 	0 				1 
Mauritius	0 	0 		2 		0 	3 			0 		0 	3 	0 	0 		47 		0 		0 		14 	4 		16 	0 		150 	1 	3 		0 	7 			21 		10 	104 			0 				3 						0 	85 		15 	0 		16 	0 			C 	140 	0 				644 
Mayotte	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 						0 				0 										0 			0 	0 			0 			0 	0 	0 				0 
Mexico	23 	0 	126 	472 	1054 	53 	205 	1 		2350 	2711 	145 	79 	0 	3 	14 	0 	13 	390 		0 		1185 	2344 	6 	280 	0 	0 		715 	4 		2866 	1990 	74 		54 	0 	3075 	6 	1 	11 	1237 	50 		129 		77 	2 		81 		0 	149 	0 	0 	169 	122 	630 	6 	0 		6452 	48786 	26 		3 	C 	78169 
Micronesia, Federated States of	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Moldova	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 									1 	121 			0 	0 		0 	0 			0 	13 	0 				136 
Monaco	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						854 	0 					43 				0 										0 			0 	0 	0 		0 			C 	2 	0 				899 
Mongolia	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Montenegro															0 																																												0 										0 
Montserrat	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 					3 					0 			0 	0 			0 			0 	0 	0 				3 
Morocco	0 	0 	C 	1 		14 	6 			0 		0 			0 		0 		2 		0 		360 	20 		6 	0 			37 			7 	1 					85 				7 	0 							0 		0 			0 	229 		4 	0 			C 	242 	0 				1022 
Mozambique	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 			30 	0 								0 		0 			0 	0 	0 	0 	0 			0 	1 	0 				32 
Myanmar	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 		0 				0 	0 					0 				0 										0 	5 		0 	0 		21 	0 			0 	0 	0 				26 
Namibia	0 	0 		0 		2 	0 			0 		0 			0 		0 		0 		0 		0 	0 		22 	0 						0 	0 					0 			34 	1 										0 			3 	0 	2 	0 	0 			0 	0 	0 				65 
Nauru	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Nepal	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 			C 	0 
Netherlands	41 	3 	4887 	11285 	48 	29762 	2661 	75 	21 	5270 	100 	120 	6328 	92 	3 	0 	169 	1109 	2844 	23 	101 	6649 	116055 	104411 	720 	1953 	162 	28 	219 	17605 	608 	73 	54150 	41959 	9255 	149 	162 	9 	62918 	12 	214 	12 		423 	86 	5604 		20 	1 	418 	6206 	4 	66 	2715 	58 	255 	38469 	4761 	43594 	0 	330 		79331 	138711 	13 			22190 	825520 
Netherlands Antilles	0 	21 		660 	12 	982 	563 	7 		227 	36 	1 	463 	0 	8 		10 	10 	991 		0 		18187 	1770 	6 	394 	2 			589 	911 		5477 	13638 	479 			0 	1996 		1 		2019 			51 					273 		0 		6 	0 	1827 	21 	2063 	0 	8 		C 	16268 	2 			C 	69980 
New Zealand	0 	0 	687 	26 	27 	90 	403 			428 	92 	6 	581 	0 	0 		3 		57 		0 		368 	231 	3 	188 	0 			716 	2 	4 	883 	1503 	137 	0 			1785 	0 	1 		62 	2 		213 					0 		0 	1431 		4 	93 	52 	297 	10 			C 	5796 	0 	2 		C 	16184 
Nicaragua	0 	0 		0 		0 	0 			0 	74 	0 			0 	5 	0 		0 		0 		0 	0 			0 						0 	0 					3 				0 	3 				7 					0 			0 	0 		0 	0 			0 	9 	0 			C 	101 
Niger	0 	0 		0 		0 	2 			0 		0 			0 		0 		0 		0 		0 	0 			0 			19 	0 		0 	0 					0 				0 										0 			0 	0 		0 	0 			C 	0 	0 				21 
Nigeria	0 	0 	C 	1 		0 	0 			0 	144 	0 			0 		0 		12 	3 	0 		35 	4 			0 						13 	1 	2 				33 			0 	1 										0 			0 	0 		1 	0 			C 		0 				249 
Niue	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						6 	0 					0 				0 										12 			0 	0 			0 			0 	0 	0 				19 
Norfolk Island	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 						0 				0 										0 			0 	0 			0 			0 	0 	0 				0 
Norway	0 	0 	160 	782 	13 	690 	693 	1 	3 	468 	144 	0 	1898 	72 	0 		116 	18 	1530 	0 	1 	611 	2664 	3991 	38 	329 	0 	24 		2080 	47 	80 	632 	6015 	501 	0 	2 	1 	4695 	3 	15 		1051 	7 	25 			0 	10 	8 	0 		0 	673 	6 	4 	1024 	2381 	3854 	0 			C 	12386 	0 			C 	49744 
Oman	0 	0 		0 	12 	0 	0 			1 		0 			0 		0 		0 	0 	0 		0 	0 		30 	0 						0 	0 					8 				0 	3 									0 			0 	0 		0 	0 			8 		0 				62 
Pakistan	0 	0 		0 	3 	0 	1 			2 		0 	0 		0 		0 		11 		0 		0 	2 			0 			8 	0 		2 	10 	2 		2 		7 			166 	1 										0 			0 	0 	1 	2 	0 			C 	226 	0 			C 	445 
Palau	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		1 	0 			0 	0 	0 				1 
Panama	8 	0 	C 	42 	168 	8 	15 	49 		129 	25 	1 	88 		8 	6 	0 		33 		0 		91 	114 		7 	0 			50 	14 	5 	295 	99 	10 	0 		0 	389 	2 			70 	0 		42 					0 		0 		0 	0 	49 	1 	130 	0 			C 	11733 	0 		13 	C 	13697 
Papua New Guinea	0 	0 		3 		0 	0 			0 		0 	5 		0 		0 		0 		0 		11 	8 			0 						8 	0 					40 	77 		39 	2 								0 		0 			0 	0 		13 	0 			C 	155 	0 				362 
Paraguay	0 	0 		0 		0 	0 	8 		0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			3 	0 		136 	0 			C 	0 	0 				148 
Peru	0 	0 	14 	26 	31 	11 	12 	0 		129 	59 	0 			0 		-5 		39 		0 		107 	84 		9 	0 			37 	26 		79 	25 	2 				208 	2 			57 	1 		1 		35 			0 		0 			0 	57 	7 	16 	0 			C 	2486 	0 		0 		3553 
Philippines	0 	0 	67 	29 	17 	40 	30 			126 	68 	5 	569 	0 	0 		5 		47 		0 		132 	152 		81 	0 		5 	471 	2 		157 	1680 	280 		81 	0 	714 	27 		4 	91 	1 		1 					0 		0 	1220 		0 	6 	10 	700 	0 			C 	4555 	0 			C 	11374 
Pitcairn Islands	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 			0 			0 	0 	0 				0 
Poland	0 	0 	5 	935 		102 	32 			82 		3 	2 		0 		109 	196 	256 		4 		527 	3260 	37 	66 	22 			424 			294 	108 	42 		0 		3270 	1 			927 	1 		451 					61 		19 		2 	0 	76 	80 	83 	0 			C 	3369 	0 				14846 
Portugal	0 	0 	105 	943 	22 	4404 	467 	107 	1 	287 	101 	9 	250 	0 	0 		30 	34 	182 		1 	381 	18023 	15827 	279 	123 	0 	3 		3811 	24 		3866 	1376 	1821 	22 			3930 	0 	55 		2606 	0 	51 	736 		0 					0 	402 	4 	1 	3074 	184 	688 	0 			9568 	4151 	0 			C 	77949 
Puerto Rico	0 	0 		0 		0 	4 	1 		13 		0 			0 		0 		0 		0 		4 	0 			0 						2 	8 					4 				0 					3 					0 			0 	0 			0 			0 		0 				39 
Qatar	0 	0 		18 	5 	4 	0 			4 		0 			0 		16 		2 		0 		35 	61 		3 	0 			22 			7 	28 			2 	1 	37 				44 	0 		0 					0 		0 			0 	0 		8 	0 			C 		0 				297 
Reunion	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 			28 	0 										0 			0 	0 			0 			0 	0 	0 				28 
Romania	0 	0 		88 		1 	0 		14 	0 		0 			0 		96 		50 	5 	0 		55 	427 	241 	55 	0 			63 			461 	1 	3 		0 		212 				80 								0 		0 			0 	1 	1 	20 	0 	3 		C 	74 	0 				1952 
Russian Federation	0 	0 	45 	628 	1 	62 	99 	0 	1 	267 	23 	6 	18 	0 	0 		1258 	1 	287 		6 	101 	681 	1887 	87 	329 	46 			301 	0 		2059 	240 	406 	8 	0 	0 	3310 	5 			655 	11 		77 		0 	13 		17 	0 			1 	0 	1 	824 	962 	0 	1 	22 	5330 	13301 	0 		0 	C 	33378 
Rwanda	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Saint Helena	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 	0 			0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Saint Pierre and Miquelon	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 			0 			0 	0 	0 				0 
Samoa	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
San Marino	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						157 	0 					0 				47 										0 			0 	0 		0 	0 			0 	0 	0 				205 
Sao Tome and Principe	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 								0 		0 			0 	0 		0 	0 			0 		0 				0 
